Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Carbamazepine,Oral:,100 mg/5 mL Syrup in 120 mL *Primary Health Care,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Carboxamide derivatives,N03AF01
Carbetocin,Inj.:,100 mcg/mL Solution for injection in 1 mL Ampul/Vial (IV) ,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,POSTERIOR PITUITARY LOBE HORMONES,Oxytocin and analogues,H01BB03
Carboplatin,Inj.:,150 mg Powder Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA02
Carboplatin,Inj.:,450 mg Powder Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA02
Carboplatin,Inj.:,10 mg/mL in 15 mL Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA02
Carboplatin,Inj.:,10 mg/mL in 45 mL Vial (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA02
Carboprost,Inj.:,125 mcg/0.5 mL Solution for injection in 0.5 mL Ampul/Vial ,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,Prostaglandins,G02AD04
Carboprost,Inj.:,250 mcg/mL Solution for injection in 1 mL Ampul/Vial ,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,Prostaglandins,G02AD04
Carboxymethylcellulose,Ophthalmic:,0.5% Solution in 0.4 mL Solution for eye drops ,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,Other ophthalmologicals,S01XA20
Carboxymethylcellulose,Ophthalmic:,0.5% Solution in 15 mL Solution for eye drops Drops ,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,Other ophthalmologicals,S01XA20
Carvedilol,Oral:,6.25 mg Tablet ,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,Alpha and beta blocking agents,C07AG02
Carvedilol,Oral:,25 mg Tablet ,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,Alpha and beta blocking agents,C07AG02
Castor Oil,Oral:,USP Grade ,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives,A06AB05
Cefalexin,Oral:,500 mg (as Monohydrate) Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB01
Cefalexin,Oral:,100 mg/mL (as Monohydrate) Granules/Powder for drops in 10 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB01
Cefalexin,Oral:,125 mg/5 mL (as Monohydrate) Granules/Powder for suspension/syrup in 30 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB01
Cefalexin,Oral:,250 mg/5 mL (as Monohydrate) Granules/Powder for suspension/syrup in 60 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB01
Cefazolin,Inj.:,"500 mg (as Sodium) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB04
Cefazolin,Inj.:,"1 g (as Sodium) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins,J01DB04
Cefepime *Reserve antimicrobial,Inj.:,"500 mg (as Hydrochloride) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Fourth-generation cephalosporins,J01DE01
Cefepime *Reserve antimicrobial,Inj.:,"1 g (as Hydrochloride) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Fourth-generation cephalosporins,J01DE01
Cefepime *Reserve antimicrobial,Inj.:,"2 g (as Hydrochloride) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Fourth-generation cephalosporins,J01DE01
Cefixime,Oral:,200 mg Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD08
Cefixime,Oral:,400 mg Capsule ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD08
Cefixime,Oral:,20 mg/mL in 10 mL (drops) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD08
Cefixime,Oral:,100 mg/5 mL Granules for Suspension in 60 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD08
Cefotaxime,Inj.:,"250 mg (as Sodium) Vial + 2 mL diluent (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD01
Cefotaxime,Inj.:,"500 mg (as Sodium) Vial + 2 mL diluent (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD01
Cefoxitin,Inj.:,"1 g (as Sodium) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC01
Cefoxitin,Inj.:,1 g (as Sodium) Powder for injection + 4% dextrose solution for injection (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC01
Ceftazidime (Ceftaxidime),Inj.:,"250 mg (as Pentahydrate) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD02
Ceftazidime (Ceftaxidime),Inj.:,"500 mg (as Pentahydrate) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD02
Ceftazidime (Ceftaxidime),Inj.:,"1 g (as Pentahydrate) Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD02
Ceftazidime (Ceftaxidime),Inj.:,2 g (as Pentahydrate) Vial (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD02
Ceftriaxone,Inj.:,250 mg (as Sodium/Disodium) Vial + 2 mL 1% solution of lidocaine (IM) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD04
Ceftriaxone,Inj.:,500 mg (as Sodium/Disodium) Vial + 2 mL 1% solution of lidocaine (IM) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD04
Ceftriaxone,Inj.:,250 mg (as Sodium/Disodium) Vial + 5 mL diluent (IV) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD04
Ceftriaxone,Inj.:,1 g (as Sodium/Disodium) Vial + 3.5 mL 1% solution of lidocaine (IM) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD04
Ceftriaxone,Inj.:,1 g (as Sodium/Disodium) Vial + 10 mL diluent (IV) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins,J01DD04
Cefuroxime,Oral:,500 mg (as Axetil) Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Cefuroxime,Oral:,125 mg/5 mL (as Axetil) Granules for Suspension in 70 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Cefuroxime,Oral:,250 mg/5 mL Granules for Suspension in 50 mL in 120 mL Bottle *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Cefuroxime,Inj.:,"250 mg Vial (IM,IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Cefuroxime,Inj.:,"750 mg Vial (IM,IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Cefuroxime,Inj.:,1.5 g (as Sodium) Vial (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins,J01DC02
Celecoxib,Oral:,100 mg Capsule *Primary Health Care,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Coxibs,M01AH01
Celecoxib,Oral:,200 mg Capsule *Primary Health Care,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Coxibs,M01AH01
Celecoxib,Oral:,400 mg Capsule *Primary Health Care,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Coxibs,M01AH01
Cetirizine,Oral:,10 mg (as Dihydrochloride) Tablet *Primary Health Care,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Cetirizine,Oral:,2.5 mg/mL (as Dihydrochloride) Syrup in 10 mL Drops ,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Cetirizine,Oral:,10 mg/mL (as Dihydrochloride) in 10 mL Drops ,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Cetirizine,Oral:,1 mg/mL (as Dihydrochloride) Solution in 30 mL *Primary Health Care,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Cetirizine,Oral:,1 mg/mL (as Dihydrochloride) Solution in 60 mL *Primary Health Care,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Cetirizine,Oral:,5 mg/ 5mL (as Dihydrochloride) Syrup in 30 mL *Primary Health Care,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives,R06AE07
Chlorambucil,Oral:,2 mg Tablet ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Nitrogen mustard analogues,L01AA02
Chloramphenicol,Oral:,500 mg Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMPHENICOLS,Amphenicols,J01BA01
Chloramphenicol,Oral:,125 mg/5 mL (as Palmitate) Suspension in 60 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMPHENICOLS,Amphenicols,J01BA01
Chloramphenicol,Inj.:,1 g (as Sodium succinate) Vial (IV; IM if recommended by manufacturer) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMPHENICOLS,Amphenicols,J01BA01
Chlorhexedine,,0.12% (as Gluconate) Solution in 50 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,0.12% (as Gluconate) Solution in 120 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,0.12% (as Gluconate) Solution in 380 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,0.12% (as Gluconate) Solution in 500 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,0.12% (as Gluconate) Solution in 4 L ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,0.12% (as Gluconate) Solution in 5 L ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 50 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 120 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 380 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 500 mL ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 4 L ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chlorhexedine,,4% (as Gluconate) Solution in 5 L ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines,D08AC02
Chloroquine,Oral:,250 mg (150 mg base) (as Phosphate/Diphosphate) Tablet *Primary Health Care,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Aminoquinolines,P01BA01
Chloroquine,Inj.:,"50 mg/mL (as Phosphate/Diphosphate) in 20 mL Vial (IM,IV) ","ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Aminoquinolines,P01BA01
Chlorphenamine (Chlorpheniramine),Oral:,4 mg (as Maleate) Tablet ,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Substituted alkylamines,R06AB04
Chlorphenamine (Chlorpheniramine),Oral:,2.5 mg/5 mL (as Maleate) Syrup in 60 mL ,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Substituted alkylamines,R06AB04
Chlorphenamine (Chlorpheniramine),Inj.:,"10 mg/mL (as Maleate) in 1 mL (IM,IV) ",RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Substituted alkylamines,R06AB04
Chlorpromazine,Oral:,100 mg (as Hydrochloride) Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,N05AA01
Chlorpromazine,Oral:,200 mg (as Hydrochloride) Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain,N05AA01
Ciclosporin,Oral:,25 mg Capsule ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors,L04AD01
Ciclosporin,Oral:,50 mg Capsule ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors,L04AD01
Ciclosporin,Oral:,100 mg Capsule ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors,L04AD01
Ciclosporin,Oral:,100 mg/mL Solution in 50 mL ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors,L04AD01
Ciclosporin,Ophthalmic:,0.05% Ophthalmic emulsion in 0.4 mL Bottle ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors,L04AD01
Cilostazol,Oral:,50 mg Tablet ,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin,B01AC23
Cilostazol,Oral:,100 mg Tablet ,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin,B01AC23
Cilostazol,Oral:,50 mg (20% w/w) Powder in 0.25 g Sachet ,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin,B01AC23
Cilostazol,Oral:,100 mg (20% w/w) Powder in 0.5 g Sachet ,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin,B01AC23
Cinnarizine,Oral:,25 mg Tablet ,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,ANTIVERTIGO PREPARATIONS,Antivertigo preparations,N07CA02
Ciprofloxacin,Oral:,250 mg (as Hydrochloride) Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA02
Ciprofloxacin,Oral:,500 mg (as Hydrochloride) Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA02
Ciprofloxacin,Inj.:,2 mg/mL (as Lactate) in 100 mL Vial + (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA02
Ciprofloxacin,Inj.:,400 mg/200 mL + (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA02
Cisplatin,Inj.:,1 mg/mL in 10 mL Vial + (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA01
Cisplatin,Inj.:,1 mg/mL in 50 mL Vial + (IV) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds,L01XA01
Clarithromycin,Oral:,250 mg Tablet (Base) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Macrolides,J01FA09
Clarithromycin,Oral:,500 mg Tablet (Base) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Macrolides,J01FA09
Clarithromycin,Oral:,125 mg/5 mL Granules/Powder for suspension in 50 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Macrolides,J01FA09
Clarithromycin,Oral:,250 mg/5 mL Granules/Powder for suspension in 50 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Macrolides,J01FA09
Clindamycin,Oral:,150 mg (as Hydrochloride) Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides,J01FF01
Clindamycin,Oral:,300 mg (as Hydrochloride) Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides,J01FF01
Clindamycin,Oral:,75 mg/5 mL (as Palmitate hydrochloride) Granules for suspension in 60 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides,J01FF01
Clindamycin,Inj.:,"150 mg/mL (as Phosphate) in 2 mL Ampul/Vial (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides,J01FF01
Clindamycin,Inj.:,"150 mg/mL (as Phosphate) in 4 mL Ampul (IM, IV) ",ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides,J01FF01
Clobetasol,Topical:,0.05% (as Propionate) Cream/Ointment in 5 g Tube ,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, very potent (group IV)",D07AD01
Clobetasol,Topical:,0.05% (as Propionate) Cream/Ointment in 15 g Tube ,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, very potent (group IV)",D07AD01
Clobetasol,Topical:,0.05% (as Propionate) Shampoo in 25 mL Bottle ,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, very potent (group IV)",D07AD01
Clofazimine,Oral:,50 mg Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,Drugs for treatment of lepra,J04BA01
Clofazimine,Oral:,100 mg Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,Drugs for treatment of lepra,J04BA01
Clomifene,Oral:,50 mg (as Citrate) Tablet ,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,"Ovulation stimulants, synthetic",G03GB02
Clonazepam,Oral:,500 mcg Tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Benzodiazepine derivatives,N03AE01
Clonazepam,Oral:,2 mg Tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Benzodiazepine derivatives,N03AE01
Clonidine,Oral:,75 mcg (as Hydrochloride) Tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists,C02AC01
Clonidine,Oral:,150 mcg (as Hydrochloride) Tablet ,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists,C02AC01
