Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Trastuzumab,Inj.:,150 mg Lyophilized powder (IV infusion) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,L01FD01 
Trastuzumab,Inj.:,600 mg/5 mL (120 mg/Ml) Solution for injection in 5 mL Vial (SC) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,L01FD01 
Travoprost,Ophthalmic:,0.004% Ophthalmic drop solution in 2.5 mL ,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Prostaglandin analogues,S01EE04 
Triclabendazole,Oral:,250 mg Tablet ,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,Other antitrematodal agents,P02BX04 
Trimetazidine,Oral:,35 mg (as Hydrochloride) Tablet ,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations,C01EB15 
Tropicamide,Ophthalmic:,0.5% Ophthalmic drop solution in 5 mL ,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,Anticholinergics,S01FA06 
Tropicamide + Phenylephrine hydrochloride,Ophthalmic:,5 mg + 5 mg/mL Ophthalmic drop solution in 10 mL (Fixed-dose combination) ,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,Anticholinergics,S01FA56 
Tsaang Gubat [Carmona retusa (Vahl) Masam] ,Oral:,250 mg Tablet (Fam. Boraglinaceae) ,Not available,Not available,Not available,Not available,Not available
"Tuberculin , Purified Protein Derivative (PPD)",Inj.:,2 TU/0.1 mL Solution in 1 mL Vial (ID) ,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tuberculosis diagnostics,V04CF01 
"Tuberculin , Purified Protein Derivative (PPD)",Inj.:,2 TU/0.1 mL Solution in 5 mL Vial (ID) ,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tuberculosis diagnostics,V04CF01 
"Tuberculin , Purified Protein Derivative (PPD)",Inj.:,5 TU/0.1 mL Freeze-dried powder Vial + 2 mL diluent ampul (ID) ,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tuberculosis diagnostics,V04CF01 
Typhoid Vaccine,Oral:,Enteric-coated tablet (encapsulated) Live attenuated S. typhi (not less than 109) viable strain *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Typhoid vaccines,J07AP01 
Typhoid Vaccine,Inj.:,"25 mcg Pre-filled syringe Vi-capsular polysaccharide S. typhi
(IM) *Primary Health Care",ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Typhoid vaccines,J07AP01 
Ursodeoxycholic Acid,Oral:,250 mg Capsule ,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives,A05AA02
